Input,Label
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"""capabilities""",capabilities
"""What can you do?""",capabilities
"""List your capabilities""",capabilities
"""Tell me your capabilities""",capabilities
"""Describe what you are capable of""",capabilities
"""Capabilities?""",capabilities
"""Can you share your capabilities?""",capabilities
"""I need to know your capabilities""",capabilities
"""What are all your capabilities?""",capabilities
"""Your capabilities, please?""",capabilities
"1. ""What are some general things to consider?""",general
"2. ""Can I get some general advice?""",general
"3. ""What's the general outlook for travel now?""",general
"4. ""General guidance for my next trip?""",general
"5. ""Any general pointers for travel?""",general
"6. ""General thoughts on destinations?""",general
"7. ""General ideas for outdoor activities?""",general
"8. ""What general knowledge should I have for traveling?""",general
"9. ""Any general insights on cultural etiquette?""",general
"10. ""What should be on my general checklist for travel?""",general
"11. ""General guidelines for international travel?""",general
"12. ""What's the general protocol for travel safety?""",general
"13. ""General considerations for solo trips?""",general
"14. ""Can you provide general planning strategies?""",general
